name,psi,threshold,type,policy_implication
Signaling Threshold,Ψ_K,0.275,min,"Education policy: ensure credential verification systems"
Market Size Threshold,Ψ_M,0.336,min,"Training policy: specialize only with market access"
Implementation Threshold,Ψ_F,0.375,min,"Management training: check labor market flexibility first"
Flexibility Saturation,Ψ_F,0.811,max,"Deregulation: diminishing returns above this level"
Institutional Foundation,Ψ_I,0.332,min,"Democratization: build institutions first"
Lipset Threshold,Ψ_E,0.394,regime,"Democracy promotion: target middle-income countries"
Rationality Threshold,Ψ_T,0.433,regime,"Savings policy: stabilize environment before nudging"
Information Advantage,Ψ_K,0.578,max,"Patient strategies: less valuable in transparent markets"
Jensen-Dupas Threshold,Ψ_K,0.433,max,"Information RCTs: screen for baseline info levels"
Action Threshold,Ψ_F,0.313,min,"Behavior change: remove constraints before informing"
Peace-Health Threshold,Ψ_T,0.278,min,"Health spending: ineffective during active conflict"
Health System Threshold,Ψ_I,0.353,min,"Health investment: requires institutional quality"
