psi_1,psi_2,beta_mean,beta_std,ci_lower,ci_upper,type,interpretation
Ψ_I,Ψ_S,-0.055,0.015,-0.08,-0.03,substitute,Formal rules replace informal trust
Ψ_I,Ψ_C,0.038,0.013,0.02,0.06,weak_complement,Rules require understanding for compliance
Ψ_I,Ψ_K,0.076,0.015,0.05,0.10,complement,Transparency makes institutions effective
Ψ_I,Ψ_E,-0.045,0.015,-0.07,-0.02,substitute,Institutions more important in poor countries
Ψ_I,Ψ_T,0.101,0.021,0.07,0.14,strong_complement,Institutions need time to consolidate
Ψ_I,Ψ_M,0.066,0.015,0.04,0.09,complement,Institutions enable global contracts
Ψ_I,Ψ_F,0.140,0.023,0.10,0.18,strong_complement,Institutions + Flexibility = ordered adaptability
Ψ_S,Ψ_C,0.031,0.012,0.01,0.05,weak_complement,Networks require competence to leverage
Ψ_S,Ψ_K,-0.045,0.015,-0.07,-0.02,substitute,Networks are information channels
Ψ_S,Ψ_E,-0.053,0.014,-0.08,-0.03,substitute,Social capital more important in poor contexts
Ψ_S,Ψ_T,0.076,0.015,0.05,0.10,complement,Trust requires time to build
Ψ_S,Ψ_M,0.007,0.016,-0.02,0.04,neutral,Local networks vs global markets tension
Ψ_S,Ψ_F,-0.035,0.015,-0.06,-0.01,weak_substitute,Networks can inhibit mobility
Ψ_C,Ψ_K,0.096,0.015,0.07,0.12,strong_complement,Information requires processing capacity
Ψ_C,Ψ_E,0.045,0.015,0.02,0.07,weak_complement,Cognition more valuable in developed economies
Ψ_C,Ψ_T,0.066,0.015,0.04,0.09,complement,Education requires stable planning
Ψ_C,Ψ_M,0.076,0.015,0.05,0.10,complement,Skills rewarded in larger markets
Ψ_C,Ψ_F,0.085,0.015,0.06,0.11,complement,Skills enable flexibility utilization
Ψ_K,Ψ_E,-0.075,0.015,-0.10,-0.05,substitute,Information interventions work where info is scarce
Ψ_K,Ψ_T,0.066,0.015,0.04,0.09,complement,Information valuable for long-term planning
Ψ_K,Ψ_M,0.106,0.015,0.08,0.13,strong_complement,Transparency enables global trade
Ψ_K,Ψ_F,0.095,0.015,0.07,0.12,complement,Information enables informed adjustment
Ψ_E,Ψ_T,0.086,0.015,0.06,0.11,complement,Development needs stable conditions
Ψ_E,Ψ_M,0.076,0.015,0.05,0.10,complement,Developed economies benefit from trade
Ψ_E,Ψ_F,0.025,0.015,0.00,0.05,neutral,Rich countries often have rigid labor markets
Ψ_T,Ψ_M,0.086,0.015,0.06,0.11,complement,Stability enables long-term trade
Ψ_T,Ψ_F,0.105,0.015,0.08,0.13,strong_complement,Stable rules enable orderly change
Ψ_M,Ψ_F,0.116,0.015,0.09,0.14,strong_complement,Global markets require adjustment capacity
